Team,clutch_gp,clutch_w,clutch_l,clutch_win_pct,clutch_pts,clutch_fg_pct,clutch_3pa,clutch_3p_pct,clutch_ft_pct,clutch_fta,clutch_reb,clutch_ast,clutch_tov,clutch_plus_minus,clutch_efg_pct,clutch_ft_rate,clutch_tov_pct,clutch_orb_pct,reg_gp,reg_w,reg_l,reg_win_pct,reg_pts,reg_fg_pct,reg_3pa,reg_3p_pct,reg_ft_pct,reg_fta,reg_reb,reg_ast,reg_tov,reg_plus_minus
Oklahoma City Thunder,24,16,8,0.667,6.9,0.445,2.1,0.42,0.77,2.5,2.3,1.3,0.5,1.1,0.541,0.555,0.088,0.284,82,68,14,0.829,120.5,0.482,38.8,0.374,0.819,20.4,44.8,26.9,11.7,12.9
Orlando Magic,35,18,17,0.514,7.4,0.408,2.5,0.233,0.8,3.0,2.9,1.1,0.7,0.5,0.461,0.55,0.091,0.244,82,41,41,0.5,105.4,0.445,35.3,0.318,0.775,23.0,41.8,23.0,14.2,-0.1
Philadelphia 76ers,36,15,21,0.417,8.3,0.381,2.7,0.34,0.77,3.5,2.8,1.1,0.9,-1.2,0.455,0.565,0.116,0.284,82,24,58,0.293,109.6,0.454,37.2,0.341,0.78,22.5,39.8,23.2,13.6,-6.2
Phoenix Suns,40,21,19,0.525,8.2,0.429,2.6,0.327,0.842,3.0,2.9,1.6,0.8,-0.6,0.504,0.531,0.116,0.358,82,36,46,0.439,113.6,0.478,38.0,0.378,0.81,20.8,42.5,27.8,14.1,-3.0
Portland Trail Blazers,33,15,18,0.455,9.0,0.441,2.6,0.318,0.804,2.8,3.6,1.3,1.0,-0.8,0.502,0.414,0.131,0.37,82,36,46,0.439,110.9,0.45,37.7,0.342,0.762,22.2,44.8,23.8,16.0,-3.0
Sacramento Kings,42,19,23,0.452,10.5,0.472,2.5,0.298,0.841,3.0,3.9,1.4,0.8,0.4,0.52,0.391,0.089,0.315,82,40,42,0.488,115.7,0.478,35.2,0.357,0.806,21.2,44.2,26.5,13.3,0.5
San Antonio Spurs,37,17,20,0.459,8.2,0.433,2.8,0.337,0.81,2.1,3.3,1.6,1.2,-0.2,0.506,0.332,0.156,0.301,82,34,48,0.415,113.9,0.465,39.6,0.357,0.774,21.0,43.7,28.6,13.9,-2.8
Toronto Raptors,32,10,22,0.313,8.1,0.441,2.2,0.314,0.675,2.4,3.3,1.6,1.1,-1.9,0.493,0.365,0.14,0.338,82,30,52,0.366,110.9,0.458,34.0,0.348,0.748,21.1,45.1,28.5,15.3,-4.3
Utah Jazz,33,8,25,0.242,8.7,0.406,2.7,0.3,0.78,3.0,4.0,1.3,1.4,-2.5,0.467,0.446,0.168,0.428,82,17,65,0.207,111.9,0.454,39.8,0.35,0.774,22.4,45.4,25.5,17.2,-9.3
Washington Wizards,29,13,16,0.448,6.5,0.44,2.0,0.339,0.735,1.7,2.2,1.3,0.7,-0.9,0.507,0.327,0.104,0.198,82,18,64,0.22,108.0,0.439,39.1,0.335,0.778,20.6,43.7,25.1,15.6,-12.4
